game_id,competition_id,season,date,home_club_id,away_club_id,home_club_goals,away_club_goals,stadium,attendance
2330964,FR1,2013,2013-12-07,1158,273,2,0,Stade du Moustoir,14027
2330950,FR1,2013,2013-12-14,417,750,1,0,Allianz Riviera,20565
2330945,FR1,2013,2013-12-07,1421,417,1,0,Stade Auguste-Delaune,14757
2330952,FR1,2013,2013-12-08,162,1147,1,0,Stade Louis-II,5619
2330953,FR1,2013,2013-12-07,583,750,5,0,Parc des Princes,45057
2330951,FR1,2013,2013-12-06,244,995,0,1,Orange Vélodrome,36622
2330946,FR1,2013,2013-12-07,1423,855,1,1,Stade du Hainaut,15655
2330969,FR1,2013,2013-12-08,40,1082,1,0,Matmut Atlantique,18740
2330971,FR1,2013,2013-12-04,969,1158,0,2,Stade de la Mosson,11596
2330968,FR1,2013,2013-12-04,273,618,3,1,Roazhon Park,17139
2330972,FR1,2013,2013-12-08,595,1041,1,3,Stade Armand-Cesari,13722
2330961,FR1,2013,2013-12-04,855,40,0,1,Stade du Roudourou,14708
2330960,FR1,2013,2013-12-04,1147,595,1,1,Stade François-Coty,0
2330993,FR1,2013,2014-01-11,1423,595,3,2,Stade du Hainaut,13349
2330966,FR1,2013,2013-12-03,1082,244,1,0,Decathlon Arena-Stade Pierre-Mauroy,46089
2330931,FR1,2013,2013-12-01,583,1041,4,0,Parc des Princes,44829
2330923,FR1,2013,2013-12-01,595,14171,2,0,Stade Armand-Cesari,12941
2330929,FR1,2013,2013-12-01,40,1147,4,0,Matmut Atlantique,11399
2330933,FR1,2013,2013-11-30,415,750,5,1,Stadium Municipal,13001
2330955,FR1,2013,2013-12-05,1041,415,1,1,Stade de Gerland,29152
2330962,FR1,2013,2013-12-03,417,162,0,3,Allianz Riviera,28241
2330919,FR1,2013,2013-11-30,855,995,1,0,Stade du Roudourou,15658
2330930,FR1,2013,2013-11-30,162,273,2,0,Stade Louis-II,6227
2330970,FR1,2013,2013-12-04,14171,583,2,0,Parc des Sports d’Annecy,14346
2330943,FR1,2013,2013-11-30,618,1421,4,0,Stade Geoffroy-Guichard,23838
2330924,FR1,2013,2013-11-29,244,969,2,0,Orange Vélodrome,35045
2330926,FR1,2013,2013-11-24,995,162,0,1,Stade de la Beaujoire,32195
2330927,FR1,2013,2013-11-24,417,618,0,1,Allianz Riviera,27360
2330916,FR1,2013,2013-11-30,1423,1082,0,1,Stade du Hainaut,14874
2330941,FR1,2013,2013-11-24,1082,415,1,0,Decathlon Arena-Stade Pierre-Mauroy,38433
2330932,FR1,2013,2013-11-23,273,40,1,1,Roazhon Park,15465
2330922,FR1,2013,2013-11-23,750,595,1,1,Stade Auguste-Bonal,14551
2330921,FR1,2013,2013-11-23,1041,1423,1,1,Stade de Gerland,33202
2330967,FR1,2013,2013-12-03,995,1423,2,1,Stade de la Beaujoire,20638
2330936,FR1,2013,2013-11-22,1147,244,1,3,Stade François-Coty,6846
2330954,FR1,2013,2013-12-08,415,969,1,1,Stadium Municipal,11023
2330895,FR1,2013,2013-11-10,618,1041,1,2,Stade Geoffroy-Guichard,37587
2331042,FR1,2013,2013-11-10,244,750,2,1,Orange Vélodrome,37583
2330942,FR1,2013,2013-11-23,969,855,1,1,Stade de la Mosson,14827
2330963,FR1,2013,2013-12-04,750,1421,0,2,Stade Auguste-Bonal,10651
2330928,FR1,2013,2013-11-23,1421,583,0,3,Stade Auguste-Delaune,20666
2330899,FR1,2013,2013-11-09,595,273,1,0,Stade Armand-Cesari,13589
2330893,FR1,2013,2013-11-09,415,1147,1,1,Stadium Municipal,20559
2330920,FR1,2013,2013-11-30,1158,417,3,0,Stade du Moustoir,13633
2330907,FR1,2013,2013-11-09,1423,969,1,1,Stade du Hainaut,12521
2330892,FR1,2013,2013-11-08,162,14171,1,1,Stade Louis-II,6507
2330947,FR1,2013,2013-12-14,1147,1158,1,2,Stade François-Coty,6057
2330938,FR1,2013,2013-11-03,969,995,1,1,Stade de la Mosson,13224
2330939,FR1,2013,2013-11-03,417,40,1,2,Allianz Riviera,27511
2330937,FR1,2013,2013-11-02,1041,855,2,0,Stade de Gerland,37334
2330917,FR1,2013,2013-11-02,1147,1423,1,3,Stade François-Coty,5789
2331041,FR1,2013,2013-11-09,1158,1421,0,0,Stade du Moustoir,12753
2330898,FR1,2013,2013-11-02,750,618,0,0,Stade Auguste-Bonal,12122
2330894,FR1,2013,2013-11-02,1421,595,4,2,Stade Auguste-Delaune,13712
2331043,FR1,2013,2013-11-09,583,417,3,1,Parc des Princes,45599
2330915,FR1,2013,2013-10-27,618,583,2,2,Stade Geoffroy-Guichard,32807
2330897,FR1,2013,2013-11-02,273,244,1,1,Roazhon Park,26785
2330935,FR1,2013,2013-10-27,40,969,2,0,Matmut Atlantique,15972
2330944,FR1,2013,2013-10-26,855,1147,2,1,Stade du Roudourou,14881
2330912,FR1,2013,2013-10-26,1423,14171,0,1,Stade du Hainaut,13370
2330891,FR1,2013,2013-10-26,595,417,1,0,Stade Armand-Cesari,14607
2330896,FR1,2013,2013-11-02,14171,415,2,1,Parc des Sports d’Annecy,9216
2330884,FR1,2013,2013-10-26,1158,750,2,1,Stade du Moustoir,15093
2330886,FR1,2013,2013-10-27,162,1041,2,1,Stade Louis-II,11352
2330887,FR1,2013,2013-10-25,995,1082,0,1,Stade de la Beaujoire,32289
2330905,FR1,2013,2013-11-03,1082,162,2,0,Decathlon Arena-Stade Pierre-Mauroy,43880
2330910,FR1,2013,2013-10-20,1041,40,1,1,Stade de Gerland,36744
2330885,FR1,2013,2013-10-20,750,162,2,2,Stade Auguste-Bonal,15041
2330882,FR1,2013,2013-10-26,415,273,0,5,Stadium Municipal,11023
2331040,FR1,2013,2013-11-09,855,1082,0,0,Stade du Roudourou,13261
2330883,FR1,2013,2013-10-19,1147,995,0,1,Stade François-Coty,6460
2330906,FR1,2013,2013-11-10,40,995,0,3,Stade Chaban-Delmas,24160
2330881,FR1,2013,2013-10-19,583,595,4,0,Parc des Princes,45802
2330940,FR1,2013,2013-10-18,1421,415,1,2,Stade Auguste-Delaune,13102
2330889,FR1,2013,2013-10-18,417,244,1,0,Allianz Riviera,31634
2330870,FR1,2013,2013-10-06,244,583,1,2,Orange Vélodrome,44391
2330880,FR1,2013,2013-10-19,14171,855,1,2,Parc des Sports d’Annecy,8620
2330909,FR1,2013,2013-10-06,969,1041,5,1,Stade de la Mosson,14730
2330879,FR1,2013,2013-10-05,995,14171,3,0,Stade de la Beaujoire,26321
2330902,FR1,2013,2013-10-19,969,1082,0,1,Stade de la Mosson,13990
2330925,FR1,2013,2013-11-23,14171,1158,0,4,Parc des Sports d’Annecy,8282
2331028,FR1,2013,2013-10-05,1423,1421,1,1,Stade du Hainaut,20330
2330890,FR1,2013,2013-10-19,273,1423,2,2,Roazhon Park,16855
2330908,FR1,2013,2013-10-05,1082,1147,3,0,Decathlon Arena-Stade Pierre-Mauroy,34384
2330875,FR1,2013,2013-10-05,855,273,2,0,Stade du Roudourou,16779
2330934,FR1,2013,2013-10-04,595,1158,4,1,Stade Armand-Cesari,12373
2331039,FR1,2013,2013-11-01,583,1158,4,0,Parc des Princes,44994
2330918,FR1,2013,2013-09-29,1147,969,1,1,Stade François-Coty,6545
2331029,FR1,2013,2013-10-26,244,1421,2,3,Orange Vélodrome,40532
2330874,FR1,2013,2013-09-28,618,595,2,2,Stade Geoffroy-Guichard,31952
2330903,FR1,2013,2013-09-28,417,855,1,0,Allianz Riviera,21314
2330901,FR1,2013,2013-09-28,1041,1082,0,0,Stade de Gerland,39717
2331027,FR1,2013,2013-10-05,415,417,1,0,Stadium Municipal,10512
2330900,FR1,2013,2013-09-28,14171,40,1,1,Parc des Sports d’Annecy,9846
2330913,FR1,2013,2013-09-29,1421,162,1,1,Stade Auguste-Delaune,20032
2330869,FR1,2013,2013-09-28,1158,244,0,2,Stade du Moustoir,15340
2330868,FR1,2013,2013-09-26,969,273,0,0,Stade de la Mosson,12597
2330888,FR1,2013,2013-09-25,162,595,3,0,Stade Louis-II,7643
2330914,FR1,2013,2013-10-06,40,750,4,1,Matmut Atlantique,12823
2330877,FR1,2013,2013-09-25,415,1158,1,0,Stadium Municipal,15097
2330871,FR1,2013,2013-09-25,1147,1041,2,1,Stade François-Coty,6184
2330996,FR1,2013,2013-09-28,583,415,2,0,Parc des Princes,44745
2330866,FR1,2013,2013-09-25,855,750,5,1,Stade du Roudourou,13515
